20016;0;Аккумуляторы;;;
20017;0;Дисплеи;;;
20025;0;Шлейфы;;;
20026;0;Сенсорные стекла;;;
20030;0;Задние крышки;;;
20037;0;Защитные стекла;;;
30001;20016;Nokia;;;
30002;20016;Samsung;;;
30003;20016;LG;;;
30004;20016;HTC;;;
30005;20016;Motorola;;;
30006;20016;Sony;;;
30007;20016;Sony Ericsson;;;
30022;20017;Nokia;;;
30023;20017;Samsung;;;
30024;20017;LG;;;
30025;20017;HTC;;;
30026;20017;Motorola;;;
30027;20017;Sony;;;
30028;20017;Sony Ericsson;;;
30029;20026;Nokia;;;
30030;20026;Samsung;;;
30031;20026;LG;;;
30032;20026;HTC;;;
30033;20026;Motorola;;;
30034;20026;Sony;;;
30035;20026;Sony Ericsson;;;
30036;20025;Nokia;;;
30037;20025;Samsung;;;
30038;20025;LG;;;
30039;20025;HTC;;;
30041;20025;Sony;;;
30050;20016;Fly;;;
30051;20017;Fly;;;
30055;20026;Fly;;;
30056;20025;Fly;;;
30065;20030;Fly;;;
30066;20030;HTC;;;
30067;20030;LG;;;
30068;20030;Motorola;;;
30069;20030;Nokia;;;
30070;20030;Samsung;;;
30071;20030;Sony;;;
30072;20030;Sony Ericsson;;;
30082;20017;Blackberry;;;
30083;20026;Blackberry;;;
30087;20026;Lenovo;;;
30088;20017;Lenovo;;;
30090;20026;Huawei;;;
30091;20017;Huawei;;;
30093;20016;Lenovo;;;
30097;20017;Apple;;;
30098;20030;Huawei;;;
30099;20026;Prestigio;;;
30100;20017;Prestigio;;;
30113;20030;Prestigio;;;
30115;20016;Prestigio;;;
30125;20030;Lenovo;;;
30126;20030;Xiaomi;;;
30127;20017;Xiaomi;;;
30128;20025;Huawei;;;
30129;20025;Lenovo;;;
30130;20025;Apple;;;
30134;20026;Xiaomi;;;
30153;20030;Asus;;;
30154;20026;Asus;;;
30155;20017;Asus;;;
30156;20017;Meizu;;;
30157;20026;Meizu;;;
30158;20016;Xiaomi;;;
30159;20016;Asus;;;
30160;20016;Meizu;;;
30161;20016;Huawei;;;
30162;20016;Nomi;;;
30163;20030;Meizu;;;
30164;20026;Alcatel;;;
30165;20026;Nomi;;;
30166;20017;Alcatel;;;
30199;20017;Nomi;;;
30200;20026;ZTE;;;
30201;20026;Bravis;;;
30202;20026;Doogee;;;
30203;20017;ZTE;;;
30204;20017;OnePlus;;;
30205;20017;Doogee;;;
30206;20017;Bravis;;;
30207;20025;Xiaomi;;;
30208;20017;Google;;;
30209;20030;Google;;;
30210;20030;Realme;;;
30211;20030;OnePlus;;;
30212;20017;Realme;;;
30213;20017;Oppo;;;
30214;20030;Oppo;;;
30216;20016;Apple;;;
30217;20030;Apple;;;
